### Data format: packings	densities	collisions	n_atoms	pressures_virial	pressures_collision	msds_val	msds_diffusion	times	std:pressures_virial	std:pressures_collision	std:msds_val	std:msds_diffusion	std:times
0.052359878	0.100000000	878800000	1048576	0.123971945	1.239717979	24077.902229358	1.942782541	2065.585654649	0.000000360	0.000002974	5.757509016	0.000475834	0.025630925
0.157079633	0.300000000	878800000	1048576	0.590463648	1.968210795	1687.795925731	0.550040651	511.415511740	0.000004153	0.000011632	0.991074499	0.000323049	0.006144110
0.261799388	0.500000000	878800000	1048576	1.634723767	3.269408490	340.389613790	0.260012310	218.188140889	0.000016983	0.000027693	0.147930502	0.000113149	0.002662557
0.366519143	0.700000000	878800000	1048576	4.008848862	5.726907735	74.134753251	0.117951617	104.753053659	0.000058200	0.000070636	0.058527581	0.000092837	0.001565339
0.471238898	0.900000000	878800000	1048576	9.686113792	10.762269302	10.831395247	0.035590994	50.721610381	0.000132634	0.000177768	0.010527370	0.000034580	0.000923585
0.052359878	0.100000000	878800000	1098500	0.123972126	1.239721246	22991.688262839	1.943490740	1971.683236594	0.000000485	0.000004141	5.395837415	0.000475615	0.034057421
0.078539816	0.150000000	878800000	1098500	0.207891939	1.385945124	9124.277899810	1.241735629	1224.667267390	0.000000701	0.000004540	2.934857991	0.000397769	0.014406585
0.100000000	0.190985932	878800000	1098500	0.290613835	1.521649020	5132.075506757	0.944009820	906.077348307	0.000001662	0.000006454	1.162059364	0.000211278	0.011210369
0.104719755	0.200000000	878800000	1098500	0.310718163	1.553591825	4584.440495290	0.894913554	853.795773531	0.000001764	0.000006134	1.589822139	0.000307295	0.009460202
0.130899694	0.250000000	878800000	1098500	0.436567021	1.746273574	2615.691502670	0.688318849	633.352669866	0.000002382	0.000006515	0.957425172	0.000250068	0.005529313
0.150000000	0.286478898	878800000	1098500	0.545757528	1.905055537	1826.766484609	0.582992990	522.237964362	0.000004163	0.000014447	0.952796271	0.000299437	0.008336705
0.157079633	0.300000000	878800000	1098500	0.590468985	1.968237349	1610.414877323	0.549825253	488.159603689	0.000003619	0.000010063	0.561063706	0.000189801	0.005073565
0.183259571	0.350000000	878800000	1098500	0.778607249	2.224593602	1041.479641348	0.449725853	385.968340534	0.000006248	0.000010821	0.220215471	0.000096564	0.003410523
0.200000000	0.381971863	878800000	1098500	0.920315725	2.409382104	801.437264896	0.398293622	335.362822690	0.000005882	0.000016837	0.368419509	0.000179118	0.004006313
0.209439510	0.400000000	878800000	1098500	1.008642782	2.521603854	694.796770877	0.372790184	310.629050865	0.000011831	0.000020286	0.181384195	0.000095835	0.004141366
0.235619449	0.450000000	878800000	1098500	1.290054344	2.866769917	472.024259224	0.310713546	253.193688169	0.000007567	0.000008182	0.278645493	0.000182375	0.001109686
0.250000000	0.477464829	878800000	1098500	1.470683980	3.080200368	383.842197546	0.281554815	227.215785589	0.000016195	0.000028116	0.121885183	0.000087088	0.003071226
0.261799388	0.500000000	878800000	1098500	1.634691736	3.269393134	324.275856157	0.259495261	208.273460188	0.000012253	0.000022193	0.243790347	0.000194962	0.002036814
0.275936555	0.527000000	878800000	1098500	1.852195199	3.514598779	265.511042060	0.235427058	187.964125588	0.000007768	0.000012491	0.062812547	0.000056065	0.000933711
0.276372887	0.527833333	878800000	1098500	1.859259492	3.522453922	263.835627422	0.234672260	187.378788806	0.000008821	0.000013223	0.057023986	0.000050252	0.000982291
0.276809219	0.528666667	878800000	1098500	1.866397978	3.530391118	262.179095046	0.233932624	186.791029035	0.000007404	0.000012345	0.054323360	0.000048329	0.000911292
0.277245552	0.529500000	878800000	1098500	1.873565199	3.538358857	260.621023466	0.233274649	186.204704392	0.000007901	0.000010598	0.069512316	0.000062098	0.000777448
0.277681884	0.530333333	878800000	1098500	1.880729265	3.546315545	258.925810590	0.232483769	185.622854849	0.000009628	0.000013884	0.069832745	0.000062253	0.001012116
0.278118216	0.531166667	878800000	1098500	1.887923336	3.554308038	257.368700941	0.231811017	185.042036359	0.000009314	0.000013669	0.072283087	0.000064741	0.000990223
0.278554549	0.532000000	878800000	1098500	1.895166462	3.562329136	255.789134814	0.231111780	184.462782005	0.000007898	0.000013020	0.068791303	0.000061864	0.000937347
0.278990881	0.532833333	878800000	1098500	1.902416432	3.570371591	254.294218905	0.230482246	183.885615001	0.000007982	0.000012636	0.072953929	0.000065999	0.000904017
0.279427213	0.533666667	878800000	1098500	1.909692282	3.578439240	252.629058185	0.229691688	183.310257301	0.000007013	0.000010217	0.059446193	0.000053733	0.000726350
0.279863546	0.534500000	878800000	1098500	1.916984736	3.586494637	251.047548987	0.228966869	182.739354686	0.000008163	0.000013691	0.057577628	0.000052302	0.000967282
0.280299878	0.535333333	878800000	1098500	1.924312786	3.594600499	249.432957471	0.228207236	182.168453616	0.000008129	0.000011557	0.060094607	0.000054787	0.000811453
0.280736210	0.536166667	878800000	1098500	1.931659963	3.602711749	247.791073570	0.227413796	181.600732763	0.000009572	0.000014343	0.056303358	0.000051486	0.001000744
0.281172543	0.537000000	878800000	1098500	1.939045626	3.610872553	246.455197031	0.226896988	181.033103300	0.000006725	0.000010425	0.061017126	0.000055982	0.000722826
0.281608875	0.537833333	878800000	1098500	1.946438260	3.619030051	244.886494917	0.226157188	180.469239204	0.000007130	0.000012279	0.060889706	0.000056153	0.000846078
0.282045207	0.538666667	878800000	1098500	1.953852066	3.627198234	243.270462337	0.225365431	179.908144942	0.000008992	0.000012890	0.074825902	0.000069120	0.000882677
0.282481539	0.539500000	878800000	1098500	1.961322946	3.635440071	241.891421311	0.224790878	179.345516595	0.000010832	0.000016707	0.061244081	0.000056528	0.001136986
0.282917872	0.540333333	878800000	1098500	1.968779002	3.643641968	240.502689318	0.224195890	178.789097313	0.000010016	0.000016460	0.061621162	0.000057028	0.001113153
0.283354204	0.541166667	878800000	1098500	1.976295865	3.651916041	238.899394157	0.223398317	178.231268704	0.000007411	0.000010608	0.056627246	0.000052811	0.000712976
0.283790536	0.542000000	878800000	1098500	1.983817487	3.660177435	237.490504042	0.222772679	177.677757318	0.000009078	0.000013166	0.069140869	0.000064569	0.000879411
0.284226869	0.542833333	878800000	1098500	1.991366022	3.668470979	236.017224921	0.222080926	177.125539085	0.000008575	0.000012732	0.050360365	0.000047077	0.000845121
0.284663201	0.543666667	878800000	1098500	1.998957483	3.676805958	234.459023440	0.221303824	176.574009500	0.000008553	0.000013231	0.067681562	0.000063672	0.000872776
0.285099533	0.544500000	878800000	1098500	2.006555536	3.685132701	233.048444596	0.220656659	176.026443903	0.000009438	0.000014116	0.051648563	0.000048633	0.000925389
0.285535866	0.545333333	878800000	1098500	2.014198932	3.693513284	231.666440400	0.220032750	175.478756134	0.000008833	0.000013415	0.056900053	0.000053938	0.000873956
0.285972198	0.546166667	878800000	1098500	2.021842454	3.701875208	230.179780157	0.219299445	174.935674035	0.000008697	0.000012928	0.054090485	0.000051229	0.000837030
0.286408530	0.547000000	878800000	1098500	2.029542751	3.710312025	228.761838084	0.218629093	174.391124117	0.000007850	0.000012440	0.050972840	0.000048823	0.000800482
0.287979327	0.550000000	878800000	1098500	2.057439614	3.740760622	223.700989747	0.216194230	172.453718401	0.000011254	0.000027912	0.170872987	0.000165790	0.001756272
0.300000000	0.572957795	878800000	1098500	2.282644318	3.983995477	188.529769046	0.198373279	158.396473469	0.000018412	0.000021476	0.099245239	0.000103728	0.001139987
0.314159265	0.600000000	878800000	1098500	2.576940283	4.294952660	153.965570015	0.178886622	143.447997412	0.000024434	0.000037059	0.098986140	0.000113927	0.001613400
0.340339204	0.650000000	878800000	1098500	3.217220680	4.949609875	105.049638132	0.146303201	119.671151177	0.000030439	0.000030837	0.089041543	0.000123281	0.000934372
0.350000000	0.668450761	878800000	1098500	3.489851437	5.220842155	91.051668680	0.135516475	111.981055774	0.000032281	0.000055449	0.067169071	0.000099681	0.001471070
0.366519143	0.700000000	878800000	1098500	4.008843467	5.726877955	70.722780695	0.117879637	99.992926636	0.000036994	0.000049511	0.042215513	0.000069920	0.001047341
0.392699082	0.750000000	878800000	1098500	4.991371738	6.655107635	46.644282649	0.093013157	83.580082140	0.000055915	0.000065571	0.022694709	0.000045809	0.000969106
0.400000000	0.763943727	878800000	1098500	5.305977912	6.945392578	41.294852574	0.086572818	79.499268455	0.000052365	0.000065047	0.035191660	0.000074340	0.000869779
0.418879020	0.800000000	878800000	1098500	6.216023865	7.770037391	29.786551880	0.071107659	69.815620437	0.000079938	0.000091806	0.025921761	0.000061919	0.000946731
0.445058959	0.850000000	878800000	1098500	7.750863533	9.118516732	18.164977465	0.052001591	58.219299947	0.000088656	0.000102238	0.014810936	0.000042358	0.000733149
0.450000000	0.859436693	878800000	1098500	8.082166848	9.404069300	16.457693318	0.048771225	56.241130784	0.000077259	0.000087363	0.024585075	0.000072742	0.000584656
0.471238898	0.900000000	878800000	1098500	9.686385259	10.762490946	10.337006579	0.035584471	48.415344363	0.000160971	0.000148897	0.010516915	0.000036163	0.000738408
0.527000000	1.006495860	878800000	1098500	10.453949321	10.386458738	0.054442390	0.000180196	50.354918058	0.000059091	0.000099871	0.000065474	0.000000217	0.000535777
0.528176471	1.008742753	878800000	1098500	10.526941937	10.435632093	0.053147835	0.000176832	50.092495741	0.000046308	0.000067129	0.000053259	0.000000177	0.000356376
0.529352941	1.010989647	878800000	1098500	10.601260881	10.486015017	0.052151633	0.000174444	49.826440280	0.000045475	0.000113960	0.000056735	0.000000189	0.000598595
0.530529412	1.013236540	878800000	1098500	10.676515007	10.536999084	0.051198459	0.000172176	49.560071921	0.000055250	0.000089263	0.000079967	0.000000269	0.000463869
0.534058824	1.019977220	878800000	1098500	10.909419654	10.695862547	0.048303441	0.000165147	48.748046763	0.000054997	0.000129496	0.000095191	0.000000325	0.000651092
0.537588235	1.026717900	878800000	1098500	11.152570237	10.862149007	0.045487774	0.000158187	47.926102154	0.000057477	0.000124230	0.000080620	0.000000279	0.000603710
0.539941176	1.031211687	878800000	1098500	11.320757499	10.978130979	0.043845185	0.000154268	47.369027471	0.000040743	0.000077291	0.000095273	0.000000335	0.000366917
0.541117647	1.033458580	878800000	1098500	11.406589592	11.037173871	0.042930808	0.000151945	47.090382873	0.000049789	0.000098599	0.000044254	0.000000157	0.000462587
0.542294118	1.035705473	878800000	1098500	11.493773557	11.097565261	0.042028720	0.000149647	46.808745305	0.000039358	0.000092010	0.000058822	0.000000209	0.000426525
0.544647059	1.040199260	878800000	1098500	11.671757747	11.220640493	0.040430874	0.000145712	46.245082270	0.000036417	0.000080783	0.000039917	0.000000144	0.000365523
0.052359878	0.100000000	878800000	131072	0.123972010	1.239718247	192692.069104462	1.943479169	16524.666798643	0.000000312	0.000002489	121.961496388	0.001241385	0.171597531
0.157079633	0.300000000	878800000	131072	0.590467887	1.968213925	13530.790858290	0.551200315	4091.310869141	0.000005582	0.000012937	12.488634819	0.000509833	0.054669593
0.261799388	0.500000000	878800000	131072	1.634697577	3.269405271	2738.622575026	0.261492477	1745.507602019	0.000012736	0.000017690	2.381205696	0.000228301	0.013606459
0.366519143	0.700000000	878800000	131072	4.008901386	5.727038248	598.692979236	0.119071610	838.001290514	0.000021890	0.000037648	0.981825266	0.000195235	0.006674116
0.471238898	0.900000000	878800000	131072	9.686512905	10.762769009	86.796368950	0.035652455	405.752114384	0.000180863	0.000242362	0.163026720	0.000066492	0.010072706
0.052359878	0.100000000	878800000	1372	0.123974113	1.239668900	18188437.252478868	1.919844652	1578984.751612148	0.000000173	0.000002113	133751.919370466	0.014108434	13.922703923
0.157079633	0.300000000	878800000	1372	0.590547630	1.968207116	1263091.222143961	0.538595009	390860.108997450	0.000005557	0.000013583	9262.630419613	0.003954613	5.483660032
0.261799388	0.500000000	878800000	1372	1.635148479	3.269622192	253161.629814867	0.253052395	166738.561209873	0.000012113	0.000024580	2229.672237928	0.002227492	1.805760135
0.366519143	0.700000000	878800000	1372	4.010565605	5.727920547	53344.038222265	0.111074734	80042.279634035	0.000034739	0.000027850	521.206427613	0.001085614	0.471474805
0.471238898	0.900000000	878800000	1372	9.691554089	10.765339954	7756.683312980	0.033359746	38752.725540773	0.000150622	0.000151076	60.235748450	0.000259312	0.599518206
