\multicolumn{1}{c}{$\rho\sigma^3$} 	\multicolumn{1}{c}{$\zeta$} 	\multicolumn{1}{c}{$N$} 	\multicolumn{1}{c}{$D$} 	\multicolumn{1}{c}{$\delta D$} 	\multicolumn{1}{c}{runs} 
0.1	0.052359877559830854	1372	1.9290455563144036	0.003235253220710629	162
0.1	0.052359877559830605	2048	1.9290830500105685	0.0036219803657787353	96
0.1	0.052359877559824256	5324	1.9337436106040407	0.0026339863134064406	48
0.1	0.05235987755982767	8788	1.9378782087376678	0.0029449635616361114	29
0.1	0.05235987755984533	16384	1.9454634785639631	0.0019350508091532804	10
0.1	0.05235987755985671	37044	1.9465147894668586	0.0022943395530126325	10
0.1	0.052359877559821015	70304	1.9418164993142928	0.0014527287283909456	10
0.1	0.052359877559705885	131072	1.9456083118732483	0.00084435402314523558	10
0.1	0.05235987755984675	275684	1.9465137327362918	0.00088943676587097055	10
0.1	0.05235987755949579	530604	1.9462205323904118	0.00088526762485829696	10
0.1	0.05235987756057706	1048576	1.9458537746499929	0.00040283754111511796	10
0.3	0.15707963267949257	1372	0.53499743802654365	0.00091808385399322074	162
0.3	0.15707963267949174	2048	0.53957095324172866	0.0010099934572517311	96
0.3	0.15707963267947272	5324	0.54308842542628277	0.00098166595282640399	48
0.3	0.15707963267948302	8788	0.54550972914950879	0.00086086413973813179	29
0.3	0.15707963267953595	16384	0.54553314498936767	0.00090054660204460417	10
0.3	0.15707963267957006	37044	0.54835801322427569	0.00057587346655676715	10
0.3	0.15707963267946307	70304	0.55030827959998674	0.00053148761473468739	10
0.3	0.15707963267911762	131072	0.55134706067511652	0.0004796982667510662	10
0.3	0.15707963267954023	275684	0.55173788408991542	0.00029333536036305963	10
0.3	0.15707963267848732	530604	0.55269638233877028	0.00012110564199571942	10
0.3	0.15707963268173117	1048576	0.55333140827438343	0.00010426148027159811	10
0.5	0.26179938779915424	1372	0.24882331879693914	0.00042698894946956791	162
0.5	0.261799387799153	2048	0.2515204181047912	0.00046339011144702711	96
0.5	0.2617993877991212	5324	0.25404594004741471	0.00046615184931252649	48
0.5	0.2617993877991384	8788	0.25691742661869149	0.00035555505401557079	29
0.5	0.2617993877992266	16384	0.25741475455806018	0.00035546304799126237	11
0.5	0.2617993877992835	37044	0.26008963578135147	0.00035436560422558237	10
0.5	0.26179938779910517	70304	0.26031075312093888	0.00028234751744362084	10
0.5	0.2617993877985294	131072	0.26183434325409893	0.00028389662063487228	10
0.5	0.2617993877992337	275684	0.2623356554832898	8.8033746845410821e-05	10
0.5	0.2617993877974788	530604	0.26273075227285891	9.7814880691040015e-05	10
0.5	0.2617993878028853	1048576	0.26313121326484551	7.0865822723696007e-05	10
0.7	0.3665191429188159	1372	0.11240714124276351	0.00019442933691282111	162
0.7	0.3665191429188142	2048	0.11337306595745854	0.0001928206600099229	96
0.7	0.36651914291876964	5324	0.11585801704723149	0.00017498366456944958	48
0.7	0.36651914291879356	8788	0.11630755779639732	0.00016185358607791027	29
0.7	0.36651914291891724	16384	0.11720173738619308	0.00017242965371184254	10
0.7	0.36651914291899695	37044	0.1181512176386853	9.7516726922468148e-05	10
0.7	0.366519142918747	70304	0.11864249570359228	9.6616235999039495e-05	10
0.7	0.36651914291794113	131072	0.11906644380894718	7.708164695371902e-05	10
0.7	0.36651914291892707	275684	0.11963283025424251	9.6921435439756642e-05	10
0.7	0.3665191429164703	530604	0.11975116937675252	0.00010482622895217043	10
0.7	0.3665191429240394	1048576	0.12016051775400623	7.2215673598436157e-05	10
0.9	0.47123889803847757	1372	0.033459770262648604	5.5897311925218474e-05	162
0.9	0.4712388980384752	2048	0.033763872980407915	6.1504575328507775e-05	96
0.9	0.4712388980384179	5324	0.034488534884558643	6.730779636552757e-05	48
0.9	0.47123889803844904	8788	0.034759278831571913	6.5505150352670191e-05	29
0.9	0.4712388980386077	16384	0.035012968369014477	6.5958515056210268e-05	11
0.9	0.4712388980387104	37044	0.035314525154096006	5.0226292308517686e-05	10
0.9	0.47123889803838914	70304	0.035587484786865665	7.0493895037783123e-05	10
0.9	0.4712388980373531	131072	0.03572875736105903	4.663903550762831e-05	10
0.9	0.4712388980386207	275684	0.035852688787132082	3.7017361510848107e-05	10
0.9	0.47123889803546204	530604	0.035894573882912874	3.4520204960935981e-05	10
0.9	0.4712388980451937	1048576	0.036004191626549234	2.5776904624450119e-05	10
