$C$	$d=0.1$	$d=0.3$	$d=0.5$	$d=0.7$	$d=0.9$
5000000	1.85815(63)	0.50253(33)	0.22468(15)	0.100853(72)	0.035875(35)
10000000	1.89924(66)	0.52217(29)	0.23782(17)	0.10668(11)	0.035114(38)
15000000	1.91395(68)	0.52962(31)	0.24349(22)	0.10930(14)	0.034958(28)
20000000	1.92246(67)	0.53401(37)	0.24665(21)	0.11083(15)	0.034927(32)
25000000	1.92745(95)	0.53710(35)	0.24876(26)	0.11194(14)	0.034930(35)
30000000	1.93069(81)	0.53885(42)	0.25021(21)	0.11275(15)	0.034962(29)
35000000	1.93319(85)	0.54015(48)	0.25137(20)	0.11337(13)	0.034980(34)
40000000	1.93540(88)	0.54128(43)	0.25240(19)	0.11382(14)	0.035028(32)
45000000	1.9366(12)	0.54208(42)	0.25317(22)	0.11426(15)	0.035060(38)
50000000	1.9383(11)	0.54270(46)	0.25379(20)	0.11464(16)	0.035101(36)
55000000	1.9390(13)	0.54342(47)	0.25435(22)	0.11493(17)	0.035133(34)
60000000	1.9388(11)	0.54397(47)	0.25486(24)	0.11522(18)	0.035176(39)
65000000	1.9395(12)	0.54447(40)	0.25529(23)	0.11548(18)	0.035208(42)
70000000	1.9401(11)	0.54504(40)	0.25564(20)	0.11571(18)	0.035240(44)
75000000	1.9397(11)	0.54557(39)	0.25595(17)	0.11594(19)	0.035256(44)
80000000	1.9398(11)	0.54585(37)	0.25628(18)	0.11613(20)	0.035295(47)
85000000	1.93958(88)	0.54617(35)	0.25660(19)	0.11628(21)	0.035302(48)
90000000	1.94026(85)	0.54640(35)	0.25673(19)	0.11640(22)	0.035329(44)
95000000	1.94027(78)	0.54651(37)	0.25694(21)	0.11650(22)	0.035356(45)
100000000	1.94028(81)	0.54682(40)	0.25710(23)	0.11657(22)	0.035379(51)
105000000	1.94015(91)	0.54695(37)	0.25728(23)	0.11664(22)	0.035392(52)
110000000	1.94041(91)	0.54726(41)	0.25748(24)	0.11669(21)	0.035394(54)
115000000	1.94062(98)	0.54737(38)	0.25765(25)	0.11676(21)	0.035402(57)
120000000	1.94051(88)	0.54755(41)	0.25781(26)	0.11683(23)	0.035419(54)
125000000	1.9403(11)	0.54777(40)	0.25794(29)	0.11687(23)	0.035434(57)
130000000	1.9400(12)	0.54785(42)	0.25807(29)	0.11694(22)	0.035442(54)
135000000	1.9402(11)	0.54810(43)	0.25822(30)	0.11699(23)	0.035446(54)
140000000	1.94053(96)	0.54811(45)	0.25829(32)	0.11704(23)	0.035453(52)
145000000	1.94036(97)	0.54829(45)	0.25842(31)	0.11712(22)	0.035461(55)
150000000	1.94004(98)	0.54838(45)	0.25854(30)	0.11719(23)	0.035471(58)
155000000	1.94011(92)	0.54865(45)	0.25869(31)	0.11725(22)	0.035484(57)
160000000	1.94029(99)	0.54868(47)	0.25881(32)	0.11731(22)	0.035495(59)
165000000	1.9404(11)	0.54874(49)	0.25889(33)	0.11740(22)	0.035509(58)
170000000	1.94069(94)	0.54889(51)	0.25897(34)	0.11748(23)	0.035517(58)
175000000	1.9404(11)	0.54898(49)	0.25902(34)	0.11755(22)	0.035520(60)
180000000	1.94079(99)	0.54908(45)	0.25916(34)	0.11761(20)	0.035536(60)
185000000	1.9407(11)	0.54922(44)	0.25921(33)	0.11767(21)	0.035546(59)
190000000	1.9408(11)	0.54925(46)	0.25931(32)	0.11775(21)	0.035557(54)
195000000	1.9411(11)	0.54926(48)	0.25937(32)	0.11782(20)	0.035571(51)
200000000	1.9417(11)	0.54937(45)	0.25943(30)	0.11788(20)	0.035588(52)
205000000	1.94177(95)	0.54938(46)	0.25943(31)	0.11792(19)	0.035589(53)
210000000	1.94169(96)	0.54949(44)	0.25950(32)	0.11796(19)	0.035602(51)
215000000	1.94168(96)	0.54954(46)	0.25956(31)	0.11798(18)	0.035619(55)
220000000	1.94152(92)	0.54958(45)	0.25965(30)	0.11799(18)	0.035632(57)
225000000	1.94122(100)	0.54966(45)	0.25967(28)	0.11801(18)	0.035646(61)
230000000	1.9412(11)	0.54978(44)	0.25979(28)	0.11804(17)	0.035664(62)
235000000	1.94129(92)	0.54977(46)	0.25985(25)	0.11807(17)	0.035667(63)
240000000	1.94126(93)	0.54972(46)	0.25990(24)	0.11813(17)	0.035674(67)
245000000	1.94165(97)	0.54977(49)	0.25999(24)	0.11814(17)	0.035684(72)
250000000	1.94148(94)	0.54981(50)	0.26008(25)	0.11816(17)	0.035689(73)
255000000	1.94140(86)	0.54986(49)	0.26013(27)	0.11818(18)	0.035689(74)
260000000	1.94163(88)	0.54994(50)	0.26017(27)	0.11819(18)	0.035679(75)
265000000	1.94159(94)	0.54999(48)	0.26018(28)	0.11824(18)	0.035681(73)
270000000	1.94175(97)	0.55000(48)	0.26021(28)	0.11827(18)	0.035682(75)
275000000	1.94172(99)	0.55006(47)	0.26027(27)	0.11831(18)	0.035676(72)
280000000	1.94120(98)	0.55011(48)	0.26031(28)	0.11835(19)	0.035678(74)
285000000	1.9414(11)	0.55008(47)	0.26033(27)	0.11837(18)	0.035680(76)
290000000	1.9413(11)	0.55011(48)	0.26031(28)	0.11841(18)	0.035681(78)
295000000	1.94097(94)	0.55009(44)	0.26037(27)	0.11844(18)	0.035687(78)
300000000	1.94102(100)	0.55016(45)	0.26041(27)	0.11847(18)	0.035691(80)
305000000	1.9412(11)	0.55019(45)	0.26043(27)	0.11849(18)	0.035688(83)
310000000	1.9410(12)	0.55022(46)	0.26045(27)	0.11851(19)	0.035688(82)
315000000	1.9410(12)	0.55026(46)	0.26050(27)	0.11853(19)	0.035688(82)
320000000	1.9412(13)	0.55028(46)	0.26055(27)	0.11857(19)	0.035689(80)
325000000	1.9411(13)	0.55032(47)	0.26058(26)	0.11859(19)	0.035693(77)
330000000	1.9414(13)	0.55024(47)	0.26059(27)	0.11861(20)	0.035696(78)
335000000	1.9412(13)	0.55027(46)	0.26065(26)	0.11862(20)	0.035698(78)
340000000	1.9410(14)	0.55035(45)	0.26071(27)	0.11864(21)	0.035699(78)
345000000	1.9410(13)	0.55039(44)	0.26074(27)	0.11865(21)	0.035706(81)
350000000	1.9412(13)	0.55040(44)	0.26077(27)	0.11867(22)	0.035712(84)
355000000	1.9416(14)	0.55044(43)	0.26080(28)	0.11868(22)	0.035710(87)
360000000	1.9415(13)	0.55048(43)	0.26083(27)	0.11868(21)	0.035712(86)
365000000	1.9414(13)	0.55057(43)	0.26087(27)	0.11871(21)	0.035720(88)
370000000	1.9415(13)	0.55055(40)	0.26091(27)	0.11871(21)	0.035728(89)
375000000	1.9412(14)	0.55054(40)	0.26093(25)	0.11871(20)	0.035733(92)
380000000	1.9414(14)	0.55053(39)	0.26090(24)	0.11872(19)	0.035738(93)
385000000	1.9417(14)	0.55056(41)	0.26088(23)	0.11874(19)	0.035743(92)
390000000	1.9416(14)	0.55051(39)	0.26088(24)	0.11877(19)	0.035740(96)
395000000	1.9421(15)	0.55048(41)	0.26088(23)	0.11877(19)	0.035748(98)
400000000	1.9422(14)	0.55047(41)	0.26087(24)	0.11877(19)	0.03575(11)
405000000	1.9422(14)	0.55049(42)	0.26088(24)	0.11877(19)	0.03575(11)
410000000	1.9423(15)	0.55052(42)	0.26092(24)	0.11877(19)	0.03575(11)
415000000	1.9426(16)	0.55059(40)	0.26095(24)	0.11879(18)	0.03576(11)
420000000	1.9426(16)	0.55065(40)	0.26100(26)	0.11879(18)	0.03576(11)
425000000	1.9428(15)	0.55063(40)	0.26099(26)	0.11878(18)	0.03576(11)
430000000	1.9429(15)	0.55069(39)	0.26100(25)	0.11878(19)	0.03577(11)
435000000	1.9428(15)	0.55074(39)	0.26099(25)	0.11878(19)	0.03577(11)
440000000	1.9429(15)	0.55075(38)	0.26103(25)	0.11879(19)	0.03578(11)
445000000	1.9432(15)	0.55071(39)	0.26107(25)	0.11879(19)	0.03578(11)
450000000	1.9435(16)	0.55076(40)	0.26107(24)	0.11877(19)	0.03579(11)
455000000	1.9434(16)	0.55077(39)	0.26108(23)	0.11877(19)	0.03579(11)
460000000	1.9435(17)	0.55075(39)	0.26108(23)	0.11878(18)	0.03579(11)
465000000	1.9435(17)	0.55082(38)	0.26108(23)	0.11878(18)	0.03579(11)
470000000	1.9436(18)	0.55085(36)	0.26107(23)	0.11878(18)	0.03578(11)
