# data format: \zeta	dZ_{MD}/d\zeta	\Delta(dZ_{MD}/d\zeta)
0.052359878	5.179682408	0.000454036
0.078539816	5.990993148	0.000172090
0.100000000	6.687778563	0.001410625
0.104719755	6.858316582	0.001472665
0.130899694	7.910989214	0.000428179
0.150000000	8.759110027	0.001546507
0.157079633	9.109128789	0.001790379
0.183259571	10.552324236	0.000629688
0.200000000	11.582008987	0.001493118
0.209439510	12.231922935	0.001778256
0.235619449	14.254032318	0.001231695
0.250000000	15.496639404	0.001073127
0.261799388	16.630358692	0.001310930
0.275936555	17.961413153	0.083462964
0.276154721	18.002652455	0.041201131
0.276372887	18.170008820	0.040994727
0.276591053	18.190701883	0.040974412
0.276809219	18.217535372	0.038234352
0.277027386	18.260703697	0.036852507
0.277245552	18.226953674	0.039533911
0.277463718	18.235376481	0.039562613
0.277681884	18.226020835	0.038949733
0.277900050	18.317434324	0.044130755
0.278118216	18.384282693	0.038568344
0.278336382	18.382992052	0.042758768
0.278554549	18.426613451	0.040667901
0.278772715	18.431939502	0.041096452
0.278990881	18.348315104	0.042645867
0.279209047	18.489681024	0.036806395
0.279427213	18.524190783	0.040481383
0.279645379	18.461598947	0.038692620
0.279863546	18.564715817	0.038383386
0.280081712	18.577258019	0.040581409
0.280299878	18.594116260	0.040576504
0.280518044	18.589606715	0.041721389
0.280736210	18.596832659	0.038228010
0.280954376	18.703174020	0.040161631
0.281172543	18.675520698	0.031072894
0.281390709	18.695597751	0.036482872
0.281608875	18.794412273	0.034427842
0.281827041	18.720088140	0.040321642
0.282045207	18.776325376	0.040815466
0.282263373	18.888889046	0.047795976
0.282481539	18.769728644	0.042322713
0.282699706	18.797351813	0.053122500
0.282917872	18.947928360	0.043847949
0.283136038	18.962770241	0.044353832
0.283354204	18.936786780	0.043907823
0.283572370	18.933709450	0.038297438
0.283790536	18.974473024	0.040283186
0.284008703	19.007392607	0.041485215
0.284226869	19.067564640	0.038450741
0.284445035	19.102355429	0.041590665
0.284663201	19.104168583	0.039220480
0.284881367	19.083478554	0.043822356
0.285099533	19.115558914	0.038123143
0.285317699	19.206871235	0.044108071
0.285535866	19.184592838	0.037208964
0.285754032	19.164107970	0.042198216
0.285972198	19.282627537	0.037670089
0.286190364	19.335748522	0.040638082
0.286408530	19.304542994	0.067819033
0.287979327	19.482466967	0.016023440
0.300000000	21.027515889	0.001645411
0.314159265	23.030075240	0.001503698
0.340339204	27.248171137	0.004365415
0.350000000	29.019389948	0.003096523
0.366519143	32.498963229	0.002366016
0.392699082	38.821432794	0.008906084
0.400000000	40.853344933	0.008027127
0.418879020	46.960120304	0.002730992
0.445058959	56.794275111	0.020985931
0.450000000	58.955907015	0.020227826
0.471238898	44.457182266	0.004945795
0.527000000	40.794353152	0.093672906
0.528176471	42.311395873	0.060240486
0.529352941	43.080948655	0.044401611
0.530529412	43.755148473	0.083249958
0.534058824	46.062881258	0.020271557
0.537588235	48.421175920	0.028273254
0.539941176	49.888392023	0.062822831
0.541117647	50.759543125	0.047771710
0.542294118	51.657417946	0.064684848
0.544647059	52.956473258	0.132809599
