0.10	1.2397243(69)	1.2397212(42)
0.15	1.3859499(44)	1.3859451(46)
0.20	1.5536109(77)	1.5535918(62)
0.25	1.746288(31)	1.7462736(66)
0.30	1.968242(26)	1.968237(11)
0.35	2.224609(29)	2.224594(11)
0.40	2.521648(39)	2.521604(21)
0.45	2.866821(48)	2.8667699(82)
0.50	3.269361(52)	3.269393(23)
0.55	3.740700(47)	3.740761(28)
0.60	4.29494(10)	4.294953(38)
0.65	4.949678(25)	4.949610(31)
0.70	5.72686(15)	5.726878(50)
0.75	6.65521(25)	6.655108(66)
0.80	7.76997(27)	7.770037(92)
0.85	9.11867(26)	9.11852(11)
0.90	10.76295(36)	10.76249(15)
