\multicolumn{1}{c}{$\zeta$}	\multicolumn{1}{c}{$Z_{MD}$}	\multicolumn{1}{c}{$\Delta Z_{MD}$}
0.275936555	3.514597444	0.000012491
0.276154721	3.518518092	0.000013930
0.276372887	3.522452583	0.000013223
0.276591053	3.526446254	0.000011555
0.276809219	3.530389774	0.000012345
0.277027386	3.534395154	0.000012309
0.277245552	3.538357509	0.000010598
0.277463718	3.542348163	0.000012378
0.277681884	3.546314193	0.000013884
0.277900050	3.550300764	0.000011937
0.278118216	3.554306681	0.000013669
0.278336382	3.558322421	0.000012146
0.278554549	3.562327775	0.000013020
0.278772715	3.566362548	0.000013229
0.278990881	3.570370226	0.000012636
0.279209047	3.574368511	0.000013404
0.279427213	3.578437871	0.000010217
0.279645379	3.582451214	0.000011826
0.279863546	3.586493263	0.000013691
0.280081712	3.590551599	0.000012138
0.280299878	3.594599121	0.000011557
0.280518044	3.598664813	0.000013180
0.280736210	3.602710367	0.000014343
0.280954376	3.606779212	0.000010550
0.281172543	3.610871166	0.000010425
0.281390709	3.614927945	0.000008772
0.281608875	3.619028660	0.000012279
0.281827041	3.623128554	0.000012413
0.282045207	3.627196839	0.000012890
0.282263373	3.631321272	0.000013063
0.282481539	3.635438672	0.000016707
0.282699706	3.639511111	0.000013365
0.282917872	3.643640564	0.000016460
0.283136038	3.647778704	0.000014009
0.283354204	3.651914633	0.000010608
0.283572370	3.656041436	0.000013403
0.283790536	3.660176022	0.000013166
0.284008703	3.664320612	0.000011695
0.284226869	3.668469562	0.000012732
0.284445035	3.672640407	0.000012305
0.284663201	3.676804537	0.000013231
0.284881367	3.680976173	0.000012186
0.285099533	3.685131275	0.000014116
0.285317699	3.689316909	0.000011613
0.285535866	3.693511854	0.000013415
0.285754032	3.697687766	0.000011619
0.285972198	3.701873773	0.000012928
0.286190364	3.706101400	0.000011899
0.286408530	3.710310585	0.000012440
